Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Cherry tomato,11.9,vegetables,25.20,105.40,4.40,0.13,0.81,1.50,92.50,0.00,0.64,4.10,0.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.01,0.06,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,80.40,965.00,0.00,0.95,6.10,0.05,0.03,33.70,0.87,1.00,0.14,0.00,25.70,37.00,0.20,0.44,11.00,320.00,14.00,3.00,0.01,0.00,0.13,0.00
Chick peas (canned),1,legumes,128.20,536.50,15.70,2.50,7.50,6.20,67.10,0.00,1.00,0.03,0.42,0.34,0.00,,0.27,0.00,0.00,0.00,0.19,0.04,0.01,0.67,0.01,0.65,1.06,1.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.10,12.00,0.00,1.29,13.70,0.05,0.03,0.00,0.20,1.50,0.11,0.00,72.80,103.40,1.30,1.63,68.00,162.80,34.10,213.10,0.53,19.80,1.06,
Chicken,3.62,meat,114.80,480.20,0.00,3.10,21.50,0.00,74.40,0.00,1.00,0.00,0.00,0.00,0.00,,0.83,0.00,0.00,0.03,0.62,0.17,0.00,1.24,0.20,1.01,0.38,0.30,0.02,0.01,0.01,0.01,0.01,70.00,16.00,16.00,0.00,0.40,1.10,,0.07,0.14,0.00,8.20,12.14,0.43,0.40,23.00,173.00,0.40,0.90,12.00,230.00,25.00,77.00,0.19,11.20,1.50,0.00
Chicken breast fillet,3.62,meat,104.50,437.10,0.00,1.20,23.10,0.00,74.68,0.00,1.02,0.00,0.00,0.00,0.00,,0.38,0.00,0.00,0.01,0.29,0.08,0.00,0.58,0.09,0.47,0.17,0.14,0.01,0.01,0.00,0.00,0.01,58.00,7.00,7.00,0.00,0.40,1.10,,0.24,0.14,0.00,12.00,16.24,0.90,0.26,23.00,196.00,,0.72,11.00,255.00,28.00,65.00,0.16,11.20,0.80,0.00
Chicory,0.7,vegetables,13.60,57.00,1.10,0.10,1.00,2.20,95.00,0.00,0.60,0.20,0.70,0.70,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.00,48.00,0.00,0.10,,0.07,0.14,4.00,0.50,0.67,0.05,0.00,52.00,21.00,0.40,0.50,22.00,187.00,7.00,2.00,0.01,1.00,0.20,11.00
Chinese cabbage,0.23,vegetables,20.60,86.00,2.68,0.14,1.31,1.62,93.70,0.00,0.55,2.40,0.10,0.10,0.00,,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.02,0.06,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.20,15.00,0.00,0.34,,0.05,0.05,39.00,0.78,0.99,0.15,0.00,150.00,38.00,0.30,0.34,25.60,204.00,15.00,9.00,0.02,0.20,0.30,7.00
Chinese cabbage (imported),0.7,vegetables,28.50,119.40,1.80,0.40,2.80,3.30,90.00,0.00,1.70,2.30,0.30,0.30,0.00,,0.07,0.00,0.00,0.00,0.05,0.00,0.00,0.07,0.02,0.00,0.18,0.04,0.13,0.00,0.00,0.00,0.00,0.00,0.00,175.00,2,100.00,0.00,0.20,,0.23,0.11,31.00,0.20,0.67,0.10,0.00,3.30,51.00,,2.70,64.00,396.00,14.00,7.00,0.02,1.00,0.50,7.00
Coconut milk,4.2,dairy,238.7,998.6,3.5,24,2.3,1.5,68,0,0.7,0,1.5,1.5,0,,20.34,3.36,10.46,3.9,1.94,0.63,0.02,1.74,0,1.7,0.52,0.5,0,0,0,0,0,0,0,0,0,0,0.15,,0.03,0,2,0.8,1.18,0,0,1.2,100,,1.6,16,265,37,15,0.04,0.1,0.7,0
Cod,4.7,fish and seafood,78.30,327.70,0.00,0.50,18.19,0.00,81.00,0.00,1.10,0.00,0.00,0.00,0.00,,0.08,0.00,0.00,0.00,0.06,0.01,0.00,0.05,0.01,0.04,0.21,0.01,0.00,0.01,0.03,0.01,0.15,48.40,2.30,2.30,0.00,1.84,0.67,0.00,0.05,0.05,0.00,2.16,5.50,0.14,1.41,14.00,217.00,180.00,0.12,12.00,402.00,27.00,59.00,0.15,27.30,0.60,34.00
Coffee powder,4.02,sweets,303.70,1,270.60,42.60,1.70,19.50,19.00,6.80,0.00,10.40,0.00,6.50,0.00,0.00,,0.20,0.00,0.00,0.15,0.04,0.00,0.00,0.04,0.00,0.04,0.20,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.11,0.00,22.00,25.25,0.03,0.00,22.00,350.00,10.00,4.40,160.00,4,000.00,390.00,41.00,0.10,3.00,0.57,0.00
Cottage cheese,0.32,cheese,92.70,387.70,2.10,4.00,12.00,0.00,80.40,0.00,1.50,0.10,1.70,0.00,0.00,,2.62,0.41,0.12,0.41,1.16,0.46,0.01,0.93,0.04,0.86,0.06,0.06,0.03,0.00,0.00,0.00,0.00,13.00,33.00,34.60,19.00,0.03,0.09,,0.04,0.15,0.00,0.12,2.92,0.03,0.60,12.00,130.00,5.90,0.10,60.00,70.00,6.20,340.00,0.85,4.00,0.40,0.00
Cream cheese,3.55,cheese,276.10,1,155.40,2.40,27.34,6.06,0.00,63.08,0.00,1.14,0.00,2.68,0.01,0.00,,17.96,3.39,0.89,2.55,0.04,6.38,0.45,5.53,1.17,0.61,0.20,0.03,0.02,0.02,0.00,84.90,283.60,285.20,19.00,0.10,0.65,3.70,0.03,0.17,0.00,0.07,1.50,0.04,0.22,15.30,95.40,7.10,0.12,88.00,71.30,7.30,268.00,0.67,2.90,0.65,0.00,,
Crispy fried onions,0.23,vegetables,53.00,221.90,8.23,1.14,1.34,2.12,85.50,0.00,1.71,3.38,1.69,1.69,0.00,,0.14,0.00,0.00,0.00,0.09,0.02,0.01,0.61,0.00,0.59,0.33,0.24,0.09,0.00,0.00,0.00,0.00,0.00,3.00,3.40,4.00,0.04,0.31,,0.04,0.00,5.30,0.16,0.34,0.16,0.00,16.10,38.00,60.20,0.25,36.70,214.70,12.80,475.00,1.19,0.00,0.12,7.90
Croissant,2.7,sweets,364.9,1526.8,36.76,21.46,5.83,1.11,33.22,0,1.57,0.04,6.14,4.34,0,,10.74,0.95,0.55,1.14,6.21,1.34,0.04,6.83,0.17,6.81,2.83,1.96,0.56,0.01,0,0,0,41.05,,192.9,,0.87,2.17,,0.13,0.11,0.7,1.78,2.83,0.09,0.18,14.1,85.5,,0.61,41.2,102.6,14.6,486.7,1.22,2.28,0.53,
Cucumber (imported),1.12,vegetables,13.10,54.80,2.30,0.05,0.81,0.00,96.50,0.00,0.38,1.70,0.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,10.00,119.00,0.00,0.15,24.40,0.02,0.00,10.10,0.19,0.30,0.05,0.00,10.40,25.00,0.30,0.27,17.00,160.00,10.00,3.00,0.01,0.00,0.17,5.00
Cucumber (Swedish),3.5,vegetables,13.10,54.80,2.30,0.05,0.81,0.00,96.50,0.00,0.38,1.70,0.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,10.00,119.00,0.00,0.15,24.40,0.02,0.00,10.10,0.19,0.30,0.05,0.00,10.40,25.00,0.30,0.27,17.00,160.00,10.00,3.00,0.01,0.00,0.17,5.00
