Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
lamb's lettuce,0.7,vegetables and mushrooms,19.1,80.1,0.8,0.2,2.63,1.8,93.5,0,1.06,0.2,0,0,0,0,0.1,0,0,0,0.03,0,0,0,0,0,0.1,0.05,0.06,0,0,0,0,0,0,246.4,2920.00,0,1.5,377,0.03,0.13,35.3,0.7,1.1,0.14,0,90.9,30,6.4,1.78,71,350,22,3,0.01,0,0.18,0
mangold,0.7,vegetables and mushrooms,21.2,88.6,2.6,0.2,1.8,0.8,93,0,1.6,0.2,0.1,0.1,0,0,0.03,0,0,0,0.02,0,0,0.01,0,0.01,0.12,0.02,0.09,0,0,0,0,0,0,165,1980.00,0,1.5,0,0.04,0.09,30,0.4,0.7,0.2,0,30,46,0,1.8,51,380,81,215,0.54,0.5,0.6,8
parsnip,0.25,vegetables and mushrooms,70.6,295.2,12.6,0.6,1.69,3.76,80.4,0,0.94,1.3,4.7,4.6,0,0,0.09,0,0,0,0.09,0,0,0.03,0,0.03,0.36,0.33,0.03,0,0,0,0,0,0,0.2,2,0,0.74,0,0.09,0.06,16.6,2.18,2.5,0.09,0,77.9,56,0.3,0.39,33,400,18,3,0.01,0,0.48,27
green peppers,0.7,vegetables and mushrooms,18.5,77.5,3,0.06,0.5,2,94.1,0,0.35,2.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,161,0,0.65,11.8,0.02,0,109,0.68,0.8,0.19,0,19.5,15.2,0,0.29,9.7,110,8.2,0,0,0,0.14,15
pepper yellow,0.7,vegetables and mushrooms,23.5,98.4,4.3,0.15,0.5,1.4,93.2,0,0.47,4.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,133,0,2.13,5,0.03,0,163,0.81,0.9,0.22,0,41.2,16.1,0,0.3,7.4,123,8,0,0,0,0.13,15
paprika red,0.7,vegetables and mushrooms,22.4,93.9,4.1,0.23,0.5,0.9,93.4,0,0.89,4.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,417,0,2.55,6.5,0.02,0.05,144,0.79,0.9,0.24,0,56.7,14.9,0,0.28,7.7,116,7.6,0,0,0,0.16,15
leek,0.24,vegetables and mushrooms,29.5,123.4,4.1,0.15,1.56,2.71,90.9,0,0.62,3.5,0.5,0.5,0,0,0.03,0,0,0,0.03,0,0,0.01,0,0.01,0.07,0.05,0.02,0,0,0,0,0,0,27.8,332,0,0.78,53.5,0.08,0.06,20.3,0.48,0.7,0.21,0,72.4,29,1.1,0.56,44,240,11,6,0.02,0,0.24,16
cos lettuces,0.7,vegetables and mushrooms,16.4,68.8,0.9,0.2,1.88,1.77,94.5,0,0.73,1.2,0.1,0.1,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0.11,0,0.08,0,0,0,0,0,0,90.8,1090.00,0,0.27,129,0.03,0.06,6,0.45,0.8,0.08,0,88.8,28,1,0.54,46,300,17,7,0.02,0,0.31,0
celeriac,0.25,vegetables and mushrooms,32.3,135.3,4.4,0.5,1.01,3.1,90,0,1.03,0,2.4,2.4,0,0,0.12,0,0,0,0.09,0,0.01,0.02,0.02,0.24,0.26,0.03,0,0,0,0,0,0,0,0.2,2,0,0.2,0.8,0.05,0.05,9.2,0.56,0.7,0.22,0,58.8,60,0,0.34,31.5,296,11.7,45,0.11,0,0.34,25
arugula salad,0.7,vegetables and mushrooms,27.6,115.4,1.99,0.66,2.58,1.66,91.71,0,1.4,0.2,0.7,0.7,0,2,0.09,0,0,0,0.07,0,0,0.05,0,0.05,0.32,0.13,0.17,0,0,0,0,0,0,118,1424.00,0,0.43,0,0.04,0.09,15,0.3,0.74,0.07,0,97,52,0,1.46,160,369,47,27,0.07,0.3,0.47,0
